WWI_ID,MSNDATE,OPERATION,COUNTRY,SERVICE,UNIT,MDS,MISSIONNUM,DEPARTURE,TAKEOFFTIME,NUMBEROFPLANESATTACKING,CALLSIGN,WEAPONSEXPENDED,WEAPONTYPE,WEAPONWEIGHT,BOMBLOAD,LATITUDE,LONGITUDE,TGTLOCATION,TGTCOUNTRY,TGTTYPE,TAKEOFFBASE,TAKEOFFLATITUDE,TAKEOFFLONGITUDE,BDA,ENEMYACTION,ROUTEDETAILS,ISRCOLLECTED,FRIENDLYCASUALTIES,FRIENDLYCASUALTIES_VERBOSE,WEATHER,ALTITUDE,O
11,1917/12/10,,UK,RAF,"NO. 55 SQDN","AIRCO DH4 DAY BOMBER",,DAY,,34,,,,1594,227.7142857,49.2037161,7.6047455,PIRMASENS,GERMANY,"RAIL JUNCTION",TANTONVILLE,48.4705028,6.150884,,,,,0,,,10000,OTAG
12,1917/12/23,,UK,RAF,"NO. 55 SQDN","AIRCO DH4 DAY BOMBER",,DAY,,3,,,,2252,225.2,49.488333,8.464722,MANNHEIM,GERMANY,"LANZ CO, RAIL JTN, BASF",TANTONVILLE,48.4705028,6.150884,,,,,0,,,10000,OTAG
13,1918/01/02,,UK,RAF,"NO. 100 SQDN",FE2B,,NIGHT,,31,,,,1190,238,49.115461,6.175875,"METZ, MAZIERES, WOIPPY",FRANCE,"FURNACES & RAILROADS",OCHEY,48.58129185,5.95351696,,,,,0,,,10000,OTAG
14,1918/01/03,,UK,RAF,"NO. 100 SQDN",FE2B,,NIGHT,,35,,,,3020,377.5,49.119666,6.176905,"5 SITES W/I 20 NM OF METZ",FRANCE,"RAIL, FACT, FURNACE",OCHEY,48.58129185,5.95351696,,,,,0,,,10000,OTAG
15,1918/01/04,,UK,RAF,"NO. 100 SQDN",FE2B,,NIGHT,,33,,,,2260,376.6666667,49.16768,5.848631,"CONFLANS & MARS",FRANCE,"RAIL JTN & STATION",OCHEY,48.58129185,5.95351696,,,,,0,,,10000,OTAG
16,1918/01/04,,UK,RAF,"NO. 216 SQDN","HADLEY PAGE O/100",,NIGHT,,2,,,,1344,1344,49.066651,6.308383,COURCELLES,FRANCE,"RAIL JUNCTION",VILLESENEUX,48.78108005,4.1631317,,,,,0,,,10000,OTAG
17,1918/01/13,,UK,RAF,"NO. 55 SQDN","AIRCO DH4 DAY BOMBER",,DAY,,5,,,,2752,229.3333333,49.0080848,8.4037563,KARLSRUHE,GERMANY,"MUNITION WORKS, RAILWAYS",TANTONVILLE,48.4705028,6.150884,,,,,0,,,10000,OTAG
18,1918/01/13,,UK,RAF,"NO. 100 SQDN",FE2B,,NIGHT,,33,,,,2195,365.8333333,49.356794,6.167606,THIONVILLE,FRANCE,"STEEL WORKS, RAIL JTN",OCHEY,48.58129185,5.95351696,,,,,0,,,10000,OTAG
19,1918/01/15,,UK,RAF,"NO. 100 SQDN",FE2B,,NIGHT,,14,,,,560,280,,,ORNY,SWITZERLAND,"RAIL SIDINGS & SEARCHLITE",OCHEY,48.58129185,5.95351696,,,,,0,,,9999,OTAG
20,1918/01/20,,UK,RAF,"NO. 100 SQDN",FE2B,,NIGHT,,4,,,,3510,319.0909091,49.356794,6.167606,"THIONVILLE, BEMSDORF, FALKNBG",FRANCE,"FACTORIES & RAIL TARGETS",OCHEY,48.58129185,5.95351696,,,,,1,,,10000,OTAG
21,1918/01/20,,UK,RAF,"NO. 216 SQDN","HADLEY PAGE O/100",,NIGHT,,2,,,,1344,1344,49.011487,6.030617,ARNAVILLE,FRANCE,RAILWAY,VILLESENEUX,48.78108005,4.1631317,,,,,0,,,10000,OTAG
22,1918/01/23,,UK,RAF,"NO. 100 SQDN",FE2B,,NIGHT,,3,,,,2594,259.4,45.538718,4.675828,"TREVES, THIONVILLE, ETC",FRANCE,"TOWNS, STEEL WORKS",OCHEY,48.58129185,5.95351696,,,,,1,,,10000,OTAG
23,1918/01/23,,UK,RAF,"NO. 216 SQDN","HADLEY PAGE O/100",,NIGHT,,14,,,,2688,1344,49.488333,8.464722,MANNHEIM,GERMANY,BASF,VILLESENEUX,48.78108005,4.1631317,,,,,0,,,10000,OTAG
24,1918/01/26,,UK,RAF,"NO. 55 SQDN","AIRCO DH4 DAY BOMBER",,DAY,,34,,,,1356,193.7142857,45.538718,4.675828,TREVES,FRANCE,"BARRACKS & STATION",TANTONVILLE,48.4705028,6.150884,,,,,0,,,10000,OTAG
25,1918/02/08,,UK,RAF,"NO. 100 SQDN",FE2B,,NIGHT,,23,,,,962,320.6666667,49.066651,6.308383,COURCELLES,FRANCE,"SIDINGS & STATION",OCHEY,48.58129185,5.95351696,,,,,1,,,10000,OTAG
26,1918/02/11,,UK,RAF,"NO. 55 SQDN","AIRCO DH4 DAY BOMBER",,DAY,,5,,,,2838,236.5,48.45,7.916667,OFFENBURG,GERMANY,"BARRACKS & STATION",TANTONVILLE,48.4705028,6.150884,,,,,0,,,10000,OTAG
27,1918/02/15,,UK,RAF,"NO. 100 SQDN",FE2B,,NIGHT,,31,,,,1708,341.6,49.1641817,5.872321129,CONFLANS,FRANCE,"SIDINGS & STATION",OCHEY,48.58129185,5.95351696,,,,,0,,,10000,OTAG
28,1918/02/15,,UK,RAF,"NO. 216 SQDN","HADLEY PAGE O/100",,NIGHT,,1,,,,0,0,49.1641817,5.872321129,CONFLANS,FRANCE,"RAIL (ABORTED RAID)",VILLESENEUX,48.78108005,4.1631317,,,,,0,,,10000,OTAG
29,1918/02/17,,UK,RAF,"NO. 55 SQDN","AIRCO DH4 DAY BOMBER",,DAY,,1,,,,0,,49.488333,8.464722,MANNHEIM,GERMANY,"BASF (ABORTED RAID)",TANTONVILLE,48.4705028,6.150884,,,,,0,,,10000,OTAG
30,1918/02/17,,UK,RAF,"NO. 100 SQDN",FE2B,,NIGHT,,33,,,,2192,365.3333333,49.1641817,5.872321129,CONFLANS,FRANCE,"SIDINGS & STATION",OCHEY,48.58129185,5.95351696,,,,,0,,,6500,OTAG
31,1918/02/17,,UK,RAF,"NO. 216 SQDN","HADLEY PAGE O/100",,NIGHT,,1,,,,0,0,0,0,UNKNOWN,GERMANY,"UNKNOWN (ABORTED RAID)",,,,,,,,0,,,9999,OTAG
32,1918/02/18,,UK,RAF,"NO. 55 SQDN","AIRCO DH4 DAY BOMBER",,DAY,,36,,,,2176,241.7777778,49.356794,6.167606,"THIONVILLE & TREVES",FRANCE,"RAIL SIDINQS, GAS WORKS",TANTONVILLE,48.4705028,6.150884,,,,,0,,,10000,OTAG
33,1918/02/18,,UK,RAF,"NO. 100 SQDN",FE2B,,NIGHT,,3,,,,2856,285.6,45.538718,4.675828,"TREVES & THIONVILLE",FRANCE,"RAIL, STEEL WRKS, BARRACKS",OCHEY,48.58129185,5.95351696,,,,,1,,,10000,OTAG
34,1918/02/18,,UK,RAF,"NO. 216 SQDN","HADLEY PAGE O/100",,NIGHT,,1,,,,0,0,0,0,UNKNOWN,GERMANY,"UNKNOWN (ABORTED RAID)",,,,,,,,0,,,9999,OTAG
35,1918/02/19,,UK,RAF,"NO. 55 SQDN","AIRCO DH4 DAY BOMBER",,DAY,,4,,,,2486,226,45.538718,4.675828,TREVES,FRANCE,"BARRACKS & RAIL SIN",TANTONVILLE,48.4705028,6.150884,,,,,1,,,10000,OTAG
36,1918/02/19,,UK,RAF,"NO. 100 SQDN",FE2B,,NIGHT,,1,,,,0,,49.233333,7,SAARBUCKEN,GERMANY,"UNKNOWN (ABORTED RAID)",OCHEY,48.58129185,5.95351696,,,,,0,,,6500,OTAG
37,1918/02/19,,UK,RAF,"NO. 216 SQDN","HADLEY PAGE O/100",,NIGHT,,14,,,,2912,1456,49.356794,6.167606,THIONVILLE,FRANCE,"RAIL STN & STEEL WORKS",VILLESENEUX,48.78108005,4.1631317,,,,,0,,,10000,OTAG
38,1918/02/20,,UK,RAF,"NO. 55 SQDN","AIRCO DH4 DAY BOMBER",,DAY,,35,,,,1900,237.5,49.2037161,7.6047455,PIRMASENS,GERMANY,"RAIL STN & FACTORIES",TANTONVILLE,48.4705028,6.150884,,,,,0,,,10000,OTAG
39,1918/02/26,,UK,RAF,"NO. 100 SQDN",FE2B,,NIGHT,,36,,,,3144,349.3333333,49.115461,6.175875,FRESCATY,FRANCE,AERODROME,OCHEY,48.58129185,5.95351696,,,,,0,,,10000,OTAG
40,1918/02/26,,UK,RAF,"NO. 216 SQDN","HADLEY PAGE O/100",,NIGHT,,2,,,,1344,1344,45.538718,4.675828,TREVES,FRANCE,"RAIL STN & BARRACKS",VILLESENEUX,48.78108005,4.1631317,,,,,0,,,10000,OTAG
41,1918/03/06,,UK,RAF,"NO. 100 SQDN",FE2B,,NIGHT,,2,,,,395,395,49.115461,6.175875,FRESCATY,FRANCE,AERODROME,OCHEY,48.58129185,5.95351696,,,,,0,,,10000,OTAG
42,1918/03/09,,UK,RAF,"NO. 55 SQDN","AIRCO DH4 DAY BOMBER",,DAY,,4,,,,2532,230.1818182,50,8.271111,MAINZ,GERMANY,"FACTORIES, STATION, BKS",TANTONVILLE,48.4705028,6.150884,,,,,0,,,10000,OTAG
43,1918/03/10,,UK,RAF,"NO. 55 SQDN","AIRCO DH4 DAY BOMBER",,DAY,,4,,,,2842,258.3636364,48.766667,9.183333,STUTTGART,GERMANY,"FACTORIES, RAILWAYS. BKS",TANTONVILLE,48.4705028,6.150884,,,,,1,,,10000,OTAG
44,1918/03/12,,UK,RAF,"NO. 55 SQDN","AIRCO DH4 DAY BOMBER",,DAY,,36,,,,2450,272.2222222,50.3566962,7.5996166,COBLENZ,GERMANY,"FACTORIES, STATION BKS",TANTONVILLE,48.4705028,6.150884,,,,,0,,,10000,OTAG
45,1918/03/13,,UK,RAF,"NO. 55 SQDN","AIRCO DH4 DAY BOMBER",,DAY,,35,,,,1984,248,47.9971865,7.8537668,FREIBURQ,GERMANY,"MUNIT DUMP, STATION, BKS",TANTONVILLE,48.4705028,6.150884,,,,,3,,,10000,OTAG
46,1918/03/16,,UK,RAF,"NO. 55 SQDN","AIRCO DH4 DAY BOMBER",,DAY,,34,,,,1878,268.2857143,49.25,7.366667,ZWEIBRUCKEN,GERMANY,"RAILWAYS & BARRACKS",TANTONVILLE,48.4705028,6.150884,,,,,0,,,10000,OTAG
47,1918/03/17,,UK,RAF,"NO. 55 SQDN","AIRCO DH4 DAY BOMBER",,DAY,,36,,,,2585,287.2222222,49.4446997,7.7690041,KAISERSLAUTERN,GERMANY,"FACTORIES, STN, SIDINGS",TANTONVILLE,48.4705028,6.150884,,,,,0,,,10000,OTAG
48,1918/03/18,,UK,RAF,"NO. 55 SQDN","AIRCO DH4 DAY BOMBER",,DAY,,36,,,,2346,260.6666667,49.488333,8.464722,MANNHEIM,GERMANY,BASF,TANTONVILLE,48.4705028,6.150884,,,,,0,,,10000,OTAG
49,1918/03/23,,UK,RAF,"NO. 100 SQDN",FE2B,,NIGHT,,5,,,,3938,328.1666667,49.115461,6.175875,METZ-SABLON,FRANCE,RAILWAYS,OCHEY,48.58129185,5.95351696,,,,,0,,,10000,OTAG
50,1918/03/23,,UK,RAF,"NO. 100 SQDN",FE2B,,NIGHT,,4,,,,3088,280.7272727,49.115461,6.175875,FRESCATY,FRANCE,AERODROME,OCHEY,48.58129185,5.95351696,,,,,0,,,10000,OTAG
51,1918/03/23,,UK,RAF,"NO. 216 SQDN","HADLEY PAGE O/100",,NIGHT,,2,,,,1120,1120,49.7,6.583333,CONZ,GERMANY,"SIDINGS, STN, BRIDGES",VILLESENEUX,48.78108005,4.1631317,,,,,0,,,10000,OTAG
52,1918/03/24,,UK,RAF,"NO. 55 SQDN","AIRCO DH4 DAY BOMBER",,DAY,,5,,,,3083,256.9166667,49.481111,8.435278,LUDWIGSHAFEN,GERMANY,BASF,TANTONVILLE,48.4705028,6.150884,,,,,2,,,10000,OTAG
53,1918/03/24,,UK,RAF,"NO. 100 SQDN",FE2B,,NIGHT,,7,,,,4773,340.9285714,49.115461,6.175875,"METZ & THIONVILLE",FRANCE,"METZ-LUXEMBOURG RAILWAY",OCHEY,48.58129185,5.95351696,,,,,0,,,10000,OTAG
54,1918/03/24,,UK,RAF,"NO. 216 SQDN","HADLEY PAGE O/100",,NIGHT,,23,,,,3584,1194.666667,50.9406645,6.9599115,"COLOGNE, LUX, COURCELLES",GERMANY,"FACTORY, RAILWAY, STATION",,,,,,,,0,,,10000,OTAG
55,1918/03/27,,UK,RAF,"NO. 55 SQDN","AIRCO DH4 DAY BOMBER",,DAY,,4,,,,2482,225.6363636,49.115461,6.175875,METZ,FRANCE,"RAIL JTN & SIDINGS",TANTONVILLE,48.4705028,6.150884,,,,,0,,,10000,OTAG
56,1918/03/28,,UK,RAF,"NO. 55 SQDN","AIRCO DH4 DAY BOMBER",,DAY,,5,,,,2706,225.5,49.75,6.16666,LUXEMBOURG,LUXEMBOURG,"RAILWAY STATION",TANTONVILLE,48.4705028,6.150884,,,,,0,,,10000,OTAG
57,1918/04/05,,UK,RAF,"NO. 55 SQDN","AIRCO DH4 DAY BOMBER",,DAY,,4,,,,2464,224,49.75,6.16666,LUXEMBOURG,LUXEMBOURG,"RAILWAYS & STATION",TANTONVILLE,48.4705028,6.150884,,,,,1,,,10000,OTAG
58,1918/04/11,,UK,RAF,"NO. 55 SQDN","AIRCO DH4 DAY BOMBER",,DAY,,4,,,,2464,224,49.75,6.16666,LUXEMBOURG,LUXEMBOURG,"RAILWAYS & STATION",TANTONVILLE,48.4705028,6.150884,,,,,0,,,10000,OTAG
59,1918/04/12,,UK,RAF,"NO. 55 SQDN","AIRCO DH4 DAY BOMBER",,DAY,,4,,,,2464,224,49.115461,6.175875,METZ-SABLON,FRANCE,"RAILWAY SIDINGS & STATION",TANTONVILLE,48.4705028,6.150884,,,,,0,,,10000,OTAG
60,1918/04/12,,UK,RAF,"NO. 100 SQDN",FE2B,,NIGHT,,33,,,,1344,224,49.3968459,4.38328,JUNIVILLE,GERMANY,"RAILWAY SIDINGS & STATION",VILLESENEUX,48.78108005,4.1631317,,,,,0,,,6500,OTAG
61,1918/04/12,,UK,RAF,"NO. 216 SQDN","HADLEY PAGE O/100",,NIGHT,,23,,,,4032,1344,49.517159,4.503726,"AMAGNE-LUCQUY, JUNIVILLE",FRANCE,"JTN, SIDINGS, STATION",VILLESENEUX,48.78108005,4.1631317,,,,,0,,,10000,OTAG
62,1918/04/19,,UK,RAF,"NO. 100 SQDN",FE2B,,NIGHT,,33,,,,1568,261.3333333,49.3968459,4.38328,JUNIVILLE,GERMANY,"JUNCTION, STATION",VILLESENEUX,48.78108005,4.1631317,,,,,0,,,10000,OTAG
63,1918/04/19,,UK,RAF,"NO. 216 SQDN","HADLEY PAGE O/100",,NIGHT,,23,,,,4704,1568,49.3968459,4.38328,"JUNIVILLE & BETHENVILLE",GERMANY,"JUNCTION, STN, SIDINGS",VILLESENEUX,48.78108005,4.1631317,,,,,0,,,10000,OTAG
64,1918/04/20,,UK,RAF,"NO. 100 SQDN",FE2B,,NIGHT,,34,,,,2128,304,49.816994,2.800635,"CHAULNES. ROYE, HAM",FRANCE,"RAIL STATIONS & JUNCTIONS",VILLESENEUX,48.78108005,4.1631317,,,,,0,,,6500,OTAG
65,1918/04/20,,UK,RAF,"NO. 216 SQDN","HADLEY PAGE O/100",,NIGHT,,14,,,,3136,1568,49.816994,2.800635,CHAULNES,FRANCE,"RAIL STATION & SIDINGS",VILLESENEUX,48.78108005,4.1631317,,,,,0,,,10000,OTAG
66,1918/04/21,,UK,RAF,"NO. 100 SQDN",FE2B,,NIGHT,,36,,,,2688,298.6666667,49.517159,4.503726,"AMAGNE-LUCQUY, JUNIVILLE",FRANCE,,VILLESENEUX,48.78108005,4.1631317,,,,,0,,,10000,OTAG
67,1918/05/02,,UK,RAF,"NO. 55 SQDN","AIRCO DH4 DAY BOMBER",,DAY,,4,,,,2476,225.0909091,49.356794,6.167606,THIONVILLE,FRANCE,"RAILWAYS & STATION",TANTONVILLE,48.4705028,6.150884,,,,,0,,,10000,OTAG
68,1918/05/02,,UK,RAF,"NO. 100 SQDN",FE2B,,NIGHT,,36,,,,2016,224,49.517159,4.503726,"AMAGNE-LUCQUY, JUNIVILLE",FRANCE,,VILLESENEUX,48.78108005,4.1631317,,,,,0,,,10000,OTAG
69,1918/05/03,,UK,RAF,"NO. 55 SQDN","AIRCO DH4 DAY BOMBER",,DAY,,5,,,,2688,224,49.356794,6.167606,THIONVILLE,FRANCE,"CARLSHUTTE WRKS, RAIL, BLDG",TANTONVILLE,48.4705028,6.150884,,,,,0,,,10000,OTAG
70,1918/05/03,,UK,RAF,"NO. 100 SQDN",FE2B,,NIGHT,,36,,,,2016,224,49.3968459,4.38328,"JUNIVILLE, ASFELD, AMAGNE",GERMANY,"RAIL LINES & SIDINGS",VILLESENEUX,48.78108005,4.1631317,,,,,0,,,6500,OTAG
71,1918/05/15,,UK,RAF,"NO. 55 SQDN","AIRCO DH4 DAY BOMBER",,DAY,,5,,,,2688,224,49.356794,6.167606,THIONVILLE,FRANCE,"JUNCTION & RLWY TRIANGLE",TANTONVILLE,48.4705028,6.150884,,,,,0,,,6500,OTAG
72,1918/05/16,,UK,RAF,"NO. 55 SQDN","AIRCO DH4 DAY BOMBER",,DAY,,5,,,,2688,224,49.233333,7,SAARBRUCKEN,GERMANY,"RAIL STATION & SIDINGS",TANTONVILLE,48.4705028,6.150884,,,,,1,,,6500,OTAG
73,1918/05/17,,UK,RAF,"NO. 55 SQDN","AIRCO DH4 DAY BOMBER",,DAY,,5,,,,2688,224,49.115461,6.175875,METZ,FRANCE,"RAIL STATION & SIDINGS",TANTONVILLE,48.4705028,6.150884,,,,,0,,,6500,OTAG
74,1918/05/17,,UK,RAF,"NO. 100 SQDN",FE2B,,NIGHT,,3,,,,2240,224,49.115461,6.175875,"METZ, METZ-SABLON, THIONVILLE",FRANCE,"RAIL STATIONS & WORKS",OCHEY,48.58129185,5.95351696,,,,,1,,,6500,OTAG
75,1918/05/17,,UK,RAF,"NO. 216 SQDN","HADLEY PAGE O/100",,NIGHT,,2,,,,1344,1344,49.356794,6.167606,THIONVILLE,FRANCE,"RAIL STATION",OCHEY,48.58129185,5.95351696,,,,,0,,,10000,OTAG
76,1918/05/18,,UK,RAF,"NO. 55 SQDN","AIRCO DH4 DAY BOMBER",,DAY,,31,,,,1392,278.4,50.9406645,6.9599115,COLOGNE,GERMANY,"RAIL STATION & SIDINGS",TANTONVILLE,48.4705028,6.150884,,,,,0,,,6500,OTAG
77,1918/05/20,,UK,RAF,"NO. 55 SQDN","AIRCO DH4 DAY BOMBER",,DAY,,3,,,,2258,225.8,49.193507,8.11288,LANDAU,GERMANY,"RAIL STATION & BARRACKS",TANTONVILLE,48.4705028,6.150884,,,,,0,,,6500,OTAG
78,1918/05/20,,UK,RAF,"NO. 100 SQDN",FE2B,,NIGHT,,4,,,,2464,224,49.356794,6.167606,"THIONVILLE, METZ-SABLON",FRANCE,"RAIL STATIONS",OCHEY,48.58129185,5.95351696,,,,,0,,,6500,OTAG
79,1918/05/20,,UK,RAF,"NO. 216 SQDN","HADLEY PAGE O/100",,NIGHT,,33,,,,7392,1232,49.356794,6.167606,"THIONVILLE, METZ-SABLON, COBLENZ",FRANCE,"RAIL STATIONS S BARRACKS",OCHEY,48.58129185,5.95351696,,,,,0,,,10000,OTAG
80,1918/05/21,,UK,RAF,"NO. 55 SQDN","AIRCO DH4 DAY BOMBER",,DAY,,4,,,,2464,224,50.4124306,4.4437222,"CHARLEROI, NAMUR, METZ-SABLON",BELGIUM,RAILWAYS,TANTONVILLE,48.4705028,6.150884,,,,,1,,,6500,OTAG
81,1918/05/21,,UK,RAF,"NO. 99 SQDN","AIRCO DH9 DAY BOMBER",,DAY,,33,,,,1344,224,49.115461,6.175875,METZ-SABLON,FRANCE,"RAIL STATION & SIDINGS",TANTONVILLE,48.4705028,6.150884,,,,,0,,,10000,OTAG
82,1918/05/21,,UK,RAF,"NO. 100 SQDN",FE2B,,NIGHT,,8,,,,3248,216.5333333,49.233333,7,"SAARBRUCKEN. THIONVILLE",GERMANY,"RAIL STATION & SIDINGS",OCHEY,48.58129185,5.95351696,,,,,0,,,6500,OTAG
83,1918/05/21,,UK,RAF,"NO. 216 SQDN","HADLEY PAGE O/100",,NIGHT,,34,,,,9084,1297.714286,49.356794,6.167606,"THIONVILLE, KARTHAUS",FRANCE,"RAIL STATIONS & CHEMICAL",OCHEY,48.58129185,5.95351696,,,,,1,,,10000,OTAG
84,1918/05/22,,UK,RAF,"NO. 55 SQDN","AIRCO DH4 DAY BOMBER",,DAY,,4,,,,2464,224,50.63042,5.60302,KINKEMPOIS,BELGIUM,"RAIL STATION",TANTONVILLE,48.4705028,6.150884,,,,,0,,,6500,OTAG
85,1918/05/22,,UK,RAF,"NO. 99 SQDN","AIRCO DH9 DAY BOMBER",,DAY,,33,,,,1344,224,49.115461,6.175875,METZ-SABLON,FRANCE,"RAILWAY TRIANGLE",TANTONVILLE,48.4705028,6.150884,,,,,0,,,10000,OTAG
86,1918/05/22,,UK,RAF,"NO. 100 SQDN",FE2B,,NIGHT,,5,,,,3408,284,49.204987,6.6962469,"KREUZWALD, SPITTEL",GERMANY,"ELECTRICAL STATION, RAIL",OCHEY,48.58129185,5.95351696,,,,,0,,,6500,OTAG
87,1918/05/22,,UK,RAF,"NO. 216 SQDN","HADLEY PAGE O/100",,NIGHT,,31,,,,6496,1299.2,49.204987,6.6962469,"KREUZWALD, MANNHEIM",GERMANY,"ELECT STN, BASF",OCHEY,48.58129185,5.95351696,,,,,0,,,10000,OTAG
88,1918/05/23,,UK,RAF,"NO. 99 SQDN","AIRCO DH9 DAY BOMBER",,DAY,,4,,,,2464,224,49.115461,6.175875,METZ-SABLON,FRANCE,"RAIL STN & TRIANGLE",TANTONVILLE,48.4705028,6.150884,,,,,0,,,10000,OTAG
89,1918/05/24,,UK,RAF,"NO. 99 SQDN","AIRCO DH9 DAY BOMBER",,DAY,,35,,,,1792,224,51.9691868,5.6653948,HAGENDINGEN,GERMANY,"THYSSEN BLAST FURNACES",TANTONVILLE,48.4705028,6.150884,,,,,0,,,10000,OTAG
90,1918/05/27,,UK,RAF,"NO. 99 SQDN","AIRCO DH9 DAY BOMBER",,DAY,,3,,,,2128,212.8,48.905388,6.759462,BENSDORF,FRANCE,"RAIL STATION & SIDINGS",TANTONVILLE,48.4705028,6.150884,,,,,1,,,6500,OTAG
91,1918/05/27,,UK,RAF,"NO. 100 SQDN",FE2B,,NIGHT,,5,,,,3424,285.3333333,49.204987,6.6962469,"KREUZWALD. METZ-SABLON",GERMANY,"ELECT PWR STN; RAIL",OCHEY,48.58129185,5.95351696,,,,,1,,,6500,OTAG
92,1918/05/27,,UK,RAF,"NO. 216 SQDN","HADLEY PAGE O/100",,NIGHT,,31,,,,6720,1344,49.488333,8.464722,"MANNHEIM, KREUZ, LANDAU, COURCELLES",GERMANY,"BASF, PWR STN, RAIL",OCHEY,48.58129185,5.95351696,,,,,0,,,10000,OTAG
93,1918/05/28,,UK,RAF,"NO. 99 SQDN","AIRCO DH9 DAY BOMBER",,DAY,,3,,,,2240,224,48.905388,6.759462,BENSDORF,FRANCE,,TANTONVILLE,48.4705028,6.150884,,,,,0,,,6500,OTAG
94,1918/05/28,,UK,RAF,"NO. 100 SQDN",FE2B,,NIGHT,,23,,,,864,288,49.115461,6.175875,METZ-SABLONS,FRANCE,"RAIL STN",OCHEY,48.58129185,5.95351696,,,,,1,,,6500,OTAG
95,1918/05/29,,UK,RAF,"NO. 55 SQDN","AIRCO DH4 DAY BOMBER",,DAY,,4,,,,2464,224,49.356794,6.167606,THIONVILLE,FRANCE,RAILWAYS,TANTONVILLE,48.4705028,6.150884,,,,,0,,,6500,OTAG
96,1918/05/29,,UK,RAF,"NO. 99 SQDN","AIRCO DH9 DAY BOMBER",,DAY,,33,,,,1344,224,49.115461,6.175875,METZ-SABLON,FRANCE,"RAILWAY TRIANGLE",TANTONVILLE,48.4705028,6.150884,,,,,0,,,6500,OTAG
97,1918/05/30,,UK,RAF,"NO. 55 SQDN","AIRCO DH4 DAY BOMBER",,DAY,,5,,,,2688,224,49.356794,6.167606,THIONVILLE,FRANCE,RAILWAYS,TANTONVILLE,48.4705028,6.150884,,,,,0,,,10000,OTAG
